"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1 (16)","","Average","20468.06","FAM","Target 1","20.08","77.69","387.01","0.75","166","VIC","Target 2","167.95","441.26","262.73","2.46","1131"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw1","A1","20472","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw1","B1","20479","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw2","C1","20478","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw2","D1","20401","FAM","Target 1","0.11","","","0.10","1","VIC","Target 2","16.51","","","2.48","145"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw3","A2","20470","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw3","B2","20477","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw4","C2","20466","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw4","D2","20464","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw5","A3","20469","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw5","B3","20470","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw6","C3","20480","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw6","D3","20470","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw7","A4","20472","FAM","Target 1","0.11","","","0.10","1","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","lw7","B4","20479","FAM","Target 1","0","","","0","0","VIC","Target 2","0","","","0","0"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","POS","C4","20474","FAM","Target 1","320.99","","","12.00","2651","VIC","Target 2","1332.39","","","27.68","8960"
"HF183-IAC-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500229","Group 1","NTC","D4","20468","FAM","Target 1","0","","","0","0","VIC","Target 2","1338.35","","","27.77","8987"